hashtags,tweets,neg,neu,pos,compound
modi,RT vikatan மோடிக்கு எதிராக தேர்தலில் விவசாய சங்கங்கள் களமிறங்கும் அய்யாக்கண்ணு Modi Ayyakkannu httpstcoBCcVusok5x,0.0,1.0,0.0,0.0
modi,RT shilpa29patel httpstco57dZBOMXBF News Modi Hindi ashishasmodi ashish30sharma ArchanaTaide ErosNow,0.0,1.0,0.0,0.0
modi,much corruption immeasurable seems challenge Modi end corruption Max criminal cases again… httpstcoHKhDrfUBPx,0.217,0.701,0.083,-0.4767
modi,RT drshamamohd China blocks blacklisting MasoodAzhar Saudi Arabia gives 20 billion Pakistan right PulwamaAttack US st…,0.112,0.888,0.0,-0.2263
modi,RT JhaSanjay Dear Modi Ji know never hold presser fear understandable Actually begun empathize you…,0.0,0.713,0.287,0.6402
modi,RT JhaSanjay Dear Modi Ji know never hold presser fear understandable Actually begun empathize you…,0.0,0.713,0.287,0.6402
modi,Target 22 Karnataka Make Modi Ji PM India BSY parlimentelections 2019 karnataka bsyediyurappa bjp… httpstcoiCmTNwjHJ2,0.0,1.0,0.0,0.0
modi,RT drshamamohd China blocks blacklisting MasoodAzhar Saudi Arabia gives 20 billion Pakistan right PulwamaAttack US st…,0.112,0.888,0.0,-0.2263
modi,KarunaGopal1 WB vote BJP modi narendramodi,0.0,1.0,0.0,0.0
modi,RT technovestor 275 crossed Seems going cross number seats Modi going win Bring 300 httpstcoeA3Ro…,0.0,0.718,0.282,0.6249
modi,275 crossed Seems going cross number seats Modi going win Bring 300 httpstcoeA3RojUPl5,0.0,0.683,0.317,0.6249
modi,RT drshamamohd China blocks blacklisting MasoodAzhar Saudi Arabia gives 20 billion Pakistan right PulwamaAttack US st…,0.112,0.888,0.0,-0.2263
modi,RT SudheenKulkarni blatant lies ministers Modi govt allowed encouraged speak httpstcogbKrtS9DuD,0.196,0.629,0.175,-0.0772
modi,RT FatyachandJ सौभाग्य योजना के अन्तर्गत 5 करोड़ से अधिक परिवारों को मिला मुफ्त बिजली कनेक्शन यही हैं अच्छे दिन किसी को लगता है हिन्दू ख…,0.0,1.0,0.0,0.0
modi,RT NHIndia Rs 179 daily wage poor finding MNREGA unviable NREGASangharshMorcha written PM Modi requesting…,0.181,0.819,0.0,-0.4767
modi,RT GauravM93998897 BJP4India lalithadurga1 Vote BJP click httpstcoyiSMhD50L7 BJPKamalJyoti BJPभगाओदेशबचाओ BJPVi…,0.0,1.0,0.0,0.0
modi,RT drsidkhosa objecting SurfExcel advertisement ideology Indias unity oneness real reason why…,0.0,1.0,0.0,0.0
modi,RT FatyachandJ सौभाग्य योजना के अन्तर्गत 5 करोड़ से अधिक परिवारों को मिला मुफ्त बिजली कनेक्शन यही हैं अच्छे दिन किसी को लगता है हिन्दू ख…,0.0,1.0,0.0,0.0
modi,Major incidents infighting BJP amid runup GeneralElection largest constituency… httpstcojuARRtahlF,0.0,1.0,0.0,0.0
modi,RT judets vivekagnihotri RahulGandhi narendramodi scripted questions pubg Modi,0.0,1.0,0.0,0.0
modi,RT SudheenKulkarni Modi Govts Talks Pakistan Terror Stops always HOLLOW Proof IndiaPakistan joint statement…,0.294,0.706,0.0,-0.6124
modi,careful travelling India U could either killed False Flag operation extremist hindus sexu… httpstco1ssS62nmj4,0.263,0.643,0.094,-0.5994
modi,Look Pappu telling Modi week Comedy year httpstcoa0F4iy4S0d,0.0,0.737,0.263,0.3612
